Box	Ft	Owner	ID Number	Type	Notes	Producer	SKU	Stat	Cat
63	56	RTA	125	F40PH	Old Chicago RTA Blue/Brown	Front Range		f	l
1434	56	SCCX		F59PH	to be Metrolink F59 Ath F59PHI to be 864	Kaslo	HL-27	a	l
135	61	SCR	501	SD9	St. Croix Road dummy	Athearn		f	l
1384	71	SOO	6014	SD60	"Red/White, Daniel's unit"	Athearn	79861	f	l
1385	71	SOO	6034	SD60	Red/White	Athearn	79863	f	l
1411	71	SOO	6048	SD60	"Red, Daniel's gift from Santa"	Athearn	91674	f	l
600	69	STLH	5615	SD40-2	"St. L & H factory paint, Mike gift"	Athearn		f	l
601	69	STLH	5654	SD40-2	"St. L & H factory paint, dummy, Mike gift"	Athearn		f	l
1815	20	TM	4150	Trackmobile	"Trackmobile, no markings"	FacDirTrains		f	l
1614	60	UP	9002	GP40X	"Old UP scheme with number, DC"	Athearn	94724	f	l
2678	56	VIA		F40PH-2D	"Ren scheme, unnumbered, DCC/S"	Rapido	82513	d	l
2677	56	VIA		F40PH-2D	"Ren scheme, unnumbered, DCC/S"	Rapido	82513	d	l
2298	50	VIA	1405	FP9	"VIA Rail The Canadian set, DCC/S"	Rapido	210006-01	f	l
2300	50	VIA	1414	FP9	"VIA Rail The Canadian set, DCC/s"	Rapido	210006-03	f	l
2341	50	VIA	1961	F9B	"CP-VIA Canadian set, dummy"	Rapido	210005-02	f	l
2299	50	VIA	1965	F9B	"VIA Rail The Canadian set, dummy"	Rapido	210006-02	f	l
782	56	VIA	6400	F40PH-2	Under const	Walthers	931-300	a	l
2470	56	VIA	6400	F40PH-2D	"As delivered scheme, DCC/S"	Rapido	80511	f	l
2704	56	VIA	6402	F40PH-2D	"Canada 150 scheme, DCC/S"	Rapido	82514	f	l
2676	56	VIA	6403	F40PH-2D	"Ren scheme, 10 dollar unit, DCC/S"	Rapido	82511	f	l
783	56	VIA	6410	F40PH-2	Under const	Walthers	931-300	a	l
2469	56	VIA	6410	F40PH-2D	"As delivered scheme, DCC/S"	Rapido	80502	f	l
2472	56	VIA	6412	F40PH-2D	"wide blue stripe scheme, DCC/S"	Rapido	80522	f	l
2779	56	VIA	6436	F40PH-2D	"VIA 40th scheme, DCC/S Rapido collectable"	Rapido	82522	f	l
2674	56	VIA	6437	F40PH-2D	"Ren scheme, DCC/S"	Rapido	82505	f	l
2780	56	VIA	6437	F40PH-2D	"VIA 40th scheme, DCC/S Rapido collectable"	Rapido	82523	f	l
2473	56	VIA	6437	F40PH-2D	"wide blue stripe scheme, DCC/S"	Rapido	80522	f	l
2675	56	VIA	6454	F40PH-2D	"Ren scheme, DCC/S"	Rapido	82510	f	l
2471	56	VIA	6454	F40PH-2D	"As delivered scheme, DCC/S"	Rapido	80511	f	l
2705	56	VIA	6454	F40PH-2D	"Canada 150 scheme, DCC/S"	Rapido	82515	f	l
2252	55	VIA	6505	FP9A	GPA-17a Big winterization hatch DCC/S	Rapido	220519	f	l
2253	55	VIA	6506	FP9A	GPA-17abcd 36 fan DCC/S	Rapido	220525A	f	l
2255	55	VIA	6510	FP9A	GPA-17abcd 36 fan DCC/S	Rapido	220525A	f	l
2256	55	VIA	6531	FP9A	GPA-17abcd 36 fan DCC/S	Rapido	220525A	f	l
2254	55	VIA	6536	FP9A	GPA-17e 48 fan DCC/S	Rapido	220525B	f	l
2437	50	VIA	6613	F9B	"blue/yellow GPB17a, DCC/S"	Rapido	221625	f	l
2438	50	VIA	6617	F9B	"blue/yellow GPB17c/d, DCC/S"	Rapido	221626	f	l
2439	50	VIA	6632	F9B	"blue/yellow GPB17e, DCC/S"	Rapido	221627	f	l
2497	54	VIA	6774	FPA4	"Blue, yellow, DCC/S"	Rapido	20519	f	l
2498	53	VIA	6863	FPB4	"Blue, yellow, DCC/S"	Rapido	30512	f	l
2476	64	VIA	6903	LRC	"Grey, blue with yellow, DCC/S"	Rapido	200050	f	l
2477	64	VIA	6905	LRC	"Grey, blue with yellow, DCC/S"	Rapido	200051	f	l
2694	64	VIA	6921	LRC	"Grey yellow, DCC/S installed"	Rapido	200009	e	l
2695	64	VIA	6923	LRC	"Grey yellow, DCC/S installed"	Rapido	200010	e	l
1212	69	VIA	910	P42	"Hobbycraft paint, DC, Mike gift"	Athearn	36390	f	l
1299	69	VIA	920	P42	"Hobbycraft paint, DC"	Athearn	36392	f	l
2322	56	WP	802C	FP7A	"Orange, silver DCC/S - two part set"	Athearn	G22317B	f	l
2323	50	WP	804B	F7B	"Orange, silver DCC/s"	Athearn	G22319	f	l
2321	56	WP	805A	FP7A	"Orange, silver DCC/S - two part set"	Athearn	G22317A	f	l
